market,group,agent,state,seed,NetWorth,Sharpe,Sortino,MaxDD,CAGR,Calmar
FTSE100,Developed,Q-Learning,Baseline,2,9237.281416848911,-0.8456440273055912,-0.1693708614918835,-0.0774002207808762,-0.0314331432752331,-0.4061118037869142
FTSE100,Developed,Q-Learning,Baseline,3,9937.487378135347,-0.2292471636133123,-0.1076025476436667,-0.0193984484745649,-0.0025211975015022,-0.1299690284343128
FTSE100,Developed,Q-Learning,Baseline,4,9974.4487312882,-0.2092476663599438,-0.0643409814387834,-0.0074134257960664,-0.001029367582259,-0.1388518089256866
FTSE100,Developed,Q-Learning,+RetFore,0,9762.274740698016,-0.4742398165129731,-0.1794202210210229,-0.0458416050800136,-0.0096386031368375,-0.2102588493531952
FTSE100,Developed,Q-Learning,+RetFore,1,9831.429623474616,-0.6154654498773211,-0.148548119417035,-0.0203045076351725,-0.0068203811264031,-0.3359047778264082
FTSE100,Developed,Q-Learning,+RetFore,2,9881.316095985128,-0.5948874557015842,-0.2052367525651278,-0.015333353477507,-0.0047947371685921,-0.3126998392956222
FTSE100,Developed,Q-Learning,+RetFore,3,9745.56915338098,-0.8513787577695828,-0.2767073908170743,-0.0288604469791529,-0.01032118191958,-0.3576237723094819
FTSE100,Developed,Q-Learning,+RetFore,4,9851.58668242058,-0.5497836689665435,-0.1515271425642179,-0.0201617444331217,-0.0060011645751307,-0.2976510586541513
FTSE100,Developed,Q-Learning,+VolFore,0,10551.969665295046,0.7310299309116525,0.4772092858691924,-0.015541895762659,0.0218638887027162,1.4067710294287086
FTSE100,Developed,Q-Learning,+VolFore,1,10220.619063298256,0.3648483555083253,0.1292418575165981,-0.0231700846599985,0.0088232985414509,0.3808056237404643
FTSE100,Developed,Q-Learning,+VolFore,2,10148.085059723791,0.3402027672842043,0.128983033501992,-0.0256550112557338,0.0059350872093049,0.231342218091878
FTSE100,Developed,Q-Learning,+VolFore,3,10536.28964801848,0.8979608675349772,0.4741298689065719,-0.0240100094050781,0.0212523483020627,0.8851453551152186
FTSE100,Developed,Q-Learning,+VolFore,4,10483.78332172726,1.0638033514971537,0.3824157146518168,-0.015542457901169,0.0192005675282158,1.2353623634738202
FTSE100,Developed,SARSA,Baseline,0,9848.650271167333,-0.8564567554877529,-0.2127739163747607,-0.0199299963148109,-0.0061204428785706,-0.3070970401391958
FTSE100,Developed,SARSA,Baseline,1,10033.861193750105,0.3666269410126,0.2279412573550813,-0.001501117841132,0.001361726059146,0.9071413455535564
FTSE100,Developed,SARSA,Baseline,2,10077.156253627443,0.3990330752134232,0.2340357691083239,-0.0072590861777561,0.003098841131788,0.4268913545697872
FTSE100,Developed,SARSA,Baseline,3,9523.004886157658,-1.6690830104617462,-0.5025844667590258,-0.0476995113842342,-0.0194824957384411,-0.4084422496720198
